TS,TEMP,WIND
2019-06-16,64.3,7.8
2019-06-17,68.7,4.6
2019-06-18,78,11.6
2019-06-19,75.5,8.5
2019-06-20,72.2,7.6
2019-06-21,68.9,5.9
2019-06-22,68.8,4.6
2019-06-23,77,7.3
2019-06-24,76,10.4
2019-06-25,69.2,6.7
2019-06-26,63.7,4.5
2019-06-27,61.2,4.7
2019-06-28,63.4,6.1
2019-06-29,67.7,5.2
2019-06-30,75.5,8.3
2019-07-01,76.1,8.4
2019-07-02,74.4,5.2
2019-07-03,72.2,7.5
2019-07-04,69.6,3.3
2019-07-05,71.2,3.3
2019-07-06,74.1,8.8
2019-07-07,72,6.8
2019-07-08,70.1,4.6
2019-07-09,69.9,7.3
2019-07-10,72.3,6.4
2019-07-11,75.1,4.1
2019-07-12,76.3,2.5
2019-07-13,69.3,5.1
2019-07-14,65.4,5.9
2019-07-15,70.9,7.7
2019-07-16,73.1,4.1
2019-07-17,74.1,4.6
2019-07-18,72,1.6
2019-07-19,77.6,3
2019-07-20,76.9,3.5
2019-07-21,75.1,4.5
2019-07-22,73.5,3.6
2019-07-23,71.6,3.4
2019-07-24,65.6,4
2019-07-25,61,2.4
2019-07-26,66.1,2.4
2019-07-27,67.5,7.4
2019-07-28,69.1,2.9
2019-07-29,67.4,7
2019-07-30,66.6,4.2
2019-07-31,71,3
2019-08-01,74.9,2.9
2019-08-02,73.8,2.4
2019-08-03,73,4.5
2019-08-04,76.3,9.4
2019-08-05,72.9,8.9
2019-08-06,66.9,8.7
2019-08-07,64.5,5.3
2019-08-08,67.9,4.3
2019-08-09,67.9,4.5
2019-08-10,72.8,1.7
2019-08-11,73,5.4
2019-08-12,70.4,10
2019-08-13,71.1,4.4
2019-08-14,68.6,2.3
2019-08-15,70.9,4.6
2019-08-16,71.8,5
2019-08-17,67.1,2.6
2019-08-18,72.7,6.5
2019-08-19,74.9,4.6
2019-08-20,72.1,6
2019-08-21,71.7,3.5
2019-08-22,78.1,8
2019-08-23,72,9
2019-08-24,65.7,5.4
2019-08-25,65.8,4.7
2019-08-26,61.3,1.3
2019-08-27,62,3.3
2019-08-28,62.2,1.6
2019-08-29,59.6,1.3
2019-08-30,63.7,3.4
2019-08-31,63.4,6.2
2019-09-01,56.2,9.7
2019-09-02,54.8,2.2
2019-09-03,55.3,3.5
2019-09-04,64.2,6.2
2019-09-05,71,9.2
2019-09-06,61.6,2
2019-09-07,61.6,3.2
2019-09-08,56.6,3.7
2019-09-09,56.3,4.6
2019-09-10,59.2,4.3
2019-09-11,59.1,2.3
2019-09-12,62,1.4
2019-09-13,63.3,2.2
2019-09-14,72.2,6.1
2019-09-15,71.3,2.1
2019-09-16,72.3,2.6
2019-09-17,70.7,0.9
2019-09-18,70.1,1.6
2019-09-19,69.4,2.9
2019-09-20,69.7,6.5
2019-09-21,70.4,5.2
2019-09-22,67.9,5.9
2019-09-23,67.8,3.9
2019-09-24,72.6,0.7
2019-09-25,75.9,2
2019-09-26,75.8,0.4
2019-09-27,76.5,4.3
2019-09-28,69.5,10.9
2019-09-29,55.5,3.8
2019-09-30,52.1,6.1
2019-10-01,50.6,1.6
2019-10-02,52.3,1.8
2019-10-03,55.3,4.3
2019-10-04,61,7.6
2019-10-05,68.1,6.2
2019-10-06,58.1,0.6
2019-10-07,64.8,4.8
2019-10-08,72.2,10.6
2019-10-09,66.9,4.7
2019-10-10,67.9,8.1
2019-10-11,59.3,5.5
2019-10-12,52.9,4.8
2019-10-13,50.3,4
2019-10-14,60.7,4
2019-10-15,64.7,9.7
2019-10-16,54.9,13.3
2019-10-17,44,2.5
2019-10-18,53.5,4
2019-10-19,57.6,5.4
2019-10-20,60,7.6
2019-10-21,55.9,2.5
2019-10-22,54.8,2.2
2019-10-23,60.8,5.7
2019-10-24,70.3,11.4
2019-10-25,61.8,3.4
2019-10-26,51.9,5.6
2019-10-27,51,6.7
2019-10-28,53.9,7.6
2019-10-29,60.6,6.1
2019-10-30,55.2,11.7
2019-10-31,49.1,9.8
2019-11-01,42.2,3.7
2019-11-02,55.4,8.4
2019-11-03,61.5,9.8
2019-11-04,43.3,4.9
2019-11-05,47.3,5.9
2019-11-06,56.8,10.9
2019-11-07,41,8.7
2019-11-08,36,4.7
2019-11-09,33.4,3.6
2019-11-10,34.7,16.1
2019-11-11,23.8,8.3
2019-11-12,29.7,1.4
2019-11-13,35.3,3.4
2019-11-14,35.6,3
2019-11-15,39.1,3.2
2019-11-16,43.7,7.4
2019-11-17,37.8,15.1
2019-11-18,31.2,5.3
2019-11-19,43.6,16.4
2019-11-20,34.3,8.5
2019-11-21,41.4,9.2
2019-11-22,43.6,9
2019-11-23,33.4,9.6
2019-11-24,36.7,6.2
2019-11-25,44.4,7.9
2019-11-26,40.7,11.5
2019-11-27,36.4,9
2019-11-28,29.2,7.2
2019-11-29,46.6,11.6
2019-11-30,33.1,7.5
2019-12-01,42.5,8.1
2019-12-02,34.5,2.3
2019-12-03,35.4,0.7
2019-12-04,29.8,1.3
2019-12-05,44.9,9.9
2019-12-06,43.6,8.4
2019-12-07,36.2,6.7
2019-12-08,30.9,4.7
2019-12-09,29.9,2.3
2019-12-10,28.1,4.3
2019-12-11,31.2,5.9
2019-12-12,31.9,4.9
2019-12-13,21,16.5
2019-12-14,19,8.4
2019-12-15,15.5,3.9
2019-12-16,22.2,5.6
